Metrics	dataset
number_of_reads	185657
number_of_bases	2601061225.0
median_read_length	12026.0
mean_read_length	14010.0
read_length_stdev	11811.0
n50	20297.0
mean_qual	18.5
median_qual	21.1
longest_read_(with_Q):1	231850 (13.6)
longest_read_(with_Q):2	185683 (17.5)
longest_read_(with_Q):3	180143 (13.1)
longest_read_(with_Q):4	176880 (17.4)
longest_read_(with_Q):5	159181 (17.7)
highest_Q_read_(with_length):1	36.5 (2903)
highest_Q_read_(with_length):2	36.5 (8211)
highest_Q_read_(with_length):3	36.3 (1164)
highest_Q_read_(with_length):4	36.0 (2449)
highest_Q_read_(with_length):5	36.0 (1061)
Reads >Q10:	185657 (100.0%) 2601.1Mb
Reads >Q15:	166595 (89.7%) 2359.9Mb
Reads >Q20:	114079 (61.4%) 1642.8Mb
Reads >Q25:	8840 (4.8%) 89.5Mb
Reads >Q30:	427 (0.2%) 3.9Mb
