Metrics	dataset
number_of_reads	726607
number_of_bases	5689640406.0
median_read_length	933.0
mean_read_length	7830.4
read_length_stdev	13654.6
n50	27882.0
mean_qual	13.5
median_qual	15.6
longest_read_(with_Q):1	455541 (14.7)
longest_read_(with_Q):2	236623 (10.7)
longest_read_(with_Q):3	222051 (14.7)
longest_read_(with_Q):4	217973 (18.7)
longest_read_(with_Q):5	212576 (15.7)
highest_Q_read_(with_length):1	40.4 (297)
highest_Q_read_(with_length):2	39.6 (102)
highest_Q_read_(with_length):3	39.3 (742)
highest_Q_read_(with_length):4	39.3 (255)
highest_Q_read_(with_length):5	39.2 (172)
Reads >Q10:	649823 (89.4%) 5475.2Mb
Reads >Q15:	397721 (54.7%) 4603.4Mb
Reads >Q20:	165545 (22.8%) 2537.7Mb
Reads >Q25:	11251 (1.5%) 114.1Mb
Reads >Q30:	708 (0.1%) 3.7Mb
