Metrics	dataset
number_of_reads	339207
number_of_bases	3540991217.0
median_read_length	6605.0
mean_read_length	10439.0
read_length_stdev	10733.8
n50	18291.0
mean_qual	19.1
median_qual	21.5
longest_read_(with_Q):1	141716 (16.9)
longest_read_(with_Q):2	139887 (16.4)
longest_read_(with_Q):3	135098 (18.6)
longest_read_(with_Q):4	133876 (18.7)
longest_read_(with_Q):5	130140 (18.0)
highest_Q_read_(with_length):1	38.9 (1631)
highest_Q_read_(with_length):2	38.3 (2241)
highest_Q_read_(with_length):3	38.2 (4085)
highest_Q_read_(with_length):4	37.8 (3905)
highest_Q_read_(with_length):5	37.7 (1832)
Reads >Q10:	339207 (100.0%) 3541.0Mb
Reads >Q15:	312094 (92.0%) 3278.3Mb
Reads >Q20:	224260 (66.1%) 2418.6Mb
Reads >Q25:	24491 (7.2%) 172.0Mb
Reads >Q30:	1303 (0.4%) 9.3Mb
