Metrics	dataset
number_of_reads	43612
number_of_bases	776347188.0
median_read_length	11971.5
mean_read_length	17801.2
read_length_stdev	18192.7
n50	32266.0
mean_qual	18.0
median_qual	20.3
longest_read_(with_Q):1	205773 (19.5)
longest_read_(with_Q):2	202171 (18.8)
longest_read_(with_Q):3	182430 (19.5)
longest_read_(with_Q):4	180469 (16.1)
longest_read_(with_Q):5	167933 (14.7)
highest_Q_read_(with_length):1	35.2 (1310)
highest_Q_read_(with_length):2	33.5 (1653)
highest_Q_read_(with_length):3	33.2 (3042)
highest_Q_read_(with_length):4	33.2 (3509)
highest_Q_read_(with_length):5	33.1 (46253)
Reads >Q10:	43612 (100.0%) 776.3Mb
Reads >Q15:	38197 (87.6%) 691.9Mb
Reads >Q20:	23130 (53.0%) 442.9Mb
Reads >Q25:	1506 (3.5%) 19.4Mb
Reads >Q30:	55 (0.1%) 0.9Mb
