Metrics	dataset
number_of_reads	74850
number_of_bases	812009771.0
median_read_length	2196.0
mean_read_length	10848.5
read_length_stdev	16449.3
n50	31844.0
mean_qual	14.7
median_qual	16.8
longest_read_(with_Q):1	205793 (19.5)
longest_read_(with_Q):2	202646 (18.3)
longest_read_(with_Q):3	182927 (18.9)
longest_read_(with_Q):4	180486 (16.1)
longest_read_(with_Q):5	167935 (14.7)
highest_Q_read_(with_length):1	34.2 (162)
highest_Q_read_(with_length):2	33.9 (77)
highest_Q_read_(with_length):3	33.8 (244)
highest_Q_read_(with_length):4	33.3 (163)
highest_Q_read_(with_length):5	33.2 (228)
Reads >Q10:	69655 (93.1%) 788.1Mb
Reads >Q15:	47835 (63.9%) 694.4Mb
Reads >Q20:	21878 (29.2%) 430.6Mb
Reads >Q25:	840 (1.1%) 14.6Mb
Reads >Q30:	29 (0.0%) 0.6Mb
